"Source:","C:\Users\Dexter\Documents\SailCam_MK5\SailCam_MK5\SailCam_MK5.sch"
"Date:","8/5/2021 7:54:40 PM"
"Tool:","Eeschema (5.1.5)-3"
"Component Count:","66"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"B1","BU2032SM-BT-GTR","footprints:BAT_BU2032SM-BT-GTR","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","",""
"C1","0.33 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C2","1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C3","10 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C4","10 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C5","22 pF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C6","22 pF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C7","0.1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C8","0.1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C9","0.1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C10","0.1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"C11","100 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","",""
"C12","0.1 uF","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"D1","LED","LED_THT:LED_D3.0mm","~","",""
"J1","B2B-PH-K-SLFSN","footprints:B2B-PH-K-SLFSN","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"J2","B2B-PH-K-SLFSN","footprints:B2B-PH-K-SLFSN","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"J3","B2B-PH-K-SLFSN","footprints:B2B-PH-K-SLFSN","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"J4","B4B-PH-K-SLFSN","footprints:B4B-PH-K-SLFSN","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"J5","SSW-108-02-G-S","footprints:SSW-108-02-G-S","https://www.uctronics.com/download/Amazon/B0068.pdf","",""
"J6","SSW-104-02-G-S","footprints:SSW-104-02-G-S_OLED","http://suddendocs.samtec.com/catalog_english/ssw_th.pdf","",""
"J7","USB_B","footprints:AMPHENOL_61729-1011BLF","https://www.amphenol-icc.com/media/wysiwyg/files/drawing/61729.pdf","",""
"J8","DM3BT-DSF-PEJS","footprints:DM3BT-DSF-PEJS","https://www.hirose.com/product/document?clcode=CL0609-0033-6-00&productname=DM3AT-SF-PEJ2M5&series=DM3&documenttype=Catalog&lang=en&documentid=D49662_en","",""
"M1","2491","digikey-footprints:WIFI_Module_ESP8266_2491","https://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2491_Web.pdf","Adafruit Industries LLC",""
"Q1","SS8050-G","footprints:SS8050-G","https://www.digikey.com/en/htmldatasheets/production/1953165/0/0/1/ss8050-g.html","",""
"Q2","SS8050-G","footprints:SS8050-G","https://www.digikey.com/en/htmldatasheets/production/1953165/0/0/1/ss8050-g.html","",""
"Q3","AOD1N60","TO228P1003X240-3N","","",""
"R1","320 KΩ","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"R2","100 KΩ","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"R3","320 KΩ","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"R4","100 KΩ","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
"R5","1 KΩ","footprints:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder_FullSilk","~","",""
